SMILES,Pred_Score
NC12C3C4C1C1C2C3C41N,0.999938667
N1NP2NNP1NN2,0.995923662
CCCCCCCCCCCCCCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)c(F)c21,0.992849535
O=C(O)c1cn2c3c(cc(F)c(F)c3OCC2)c1=O,0.992194173
O/N=C1\N[C@H]2NCCN[C@H]2N\C1=N/O,0.992158172
CN1CCN(c2cc(F)c(C(=O)O)cc2F)CC1,0.989393172
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H]4SC(=O)NC4=O)cn1c32,0.989257887
CC(=O)N1C2C3N(C(C)=O)[C@H]4N[C@H]1[C@@H](N[C@H]4N3C(C)=O)N2C(C)=O,0.989006802
O/N=C1\N[C@@H]2NCCN[C@H]2N\C1=N/O,0.988666186
O/N=C1\N[C@H]2NCCN[C@@H]2N\C1=N/O,0.98866618
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,0.988517621
CN1CCN(c2c(F)cc(C(=O)O)c(F)c2F)CC1,0.988381821
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H]4SC(=O)NC4=O)cn1c32,0.987329844
C[C]1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c32,0.987231618
C[C@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c32,0.987121335
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4SC(=O)NC4=O)cn1c32,0.986908647
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)n4c(N)csc4=N)cn1c32,0.986669132
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,0.986548293
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,0.985835081
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@@H]12)c1csc(N)n1,0.985117623
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@@H]12)c1csc(N)n1,0.984606066
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)n4c(N)csc4=N)cn1c32,0.984488067
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4SC(=O)NC4=O)cn1c32,0.984170145
O=C1C(N2CC2)=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,0.983924422
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/OC)c3csc(N)n3)[C@H]2SC1,0.983802453
Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(NC[C@@H](O)COC4CN(c5c(F)cc6c(=O)c(C(=O)O)cn(-c7nc(N)c(F)cc7F)c6c5Cl)C4)c(Cl)c32)c(F)cc1F,0.983788905
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1csc(N)n1,0.983714405
CC(=O)N1C2C3N(C(C)=O)[C@@H]4N[C@H]1[C@@H](N[C@H]4N3C(C)=O)N2C(C)=O,0.983623058
Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(NC[C@H](O)COC4CN(c5c(F)cc6c(=O)c(C(=O)O)cn(-c7nc(N)c(F)cc7F)c6c5Cl)C4)c(Cl)c32)c(F)cc1F,0.983247107
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@H]12)c1csc(N)n1,0.983075052
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@@H]12)c1csc(N)n1,0.982798028
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c32,0.982360741
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0.982121953
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1csc(N)n1,0.981920066
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)NC(=N)SCCN)c3=O,0.981878924
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)n4cc(F)c(O)nc4=N)cn1c32,0.981826201
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0.981301928
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)Nc4c(N)c(=O)c4=O)cn1c32,0.980918702
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0.980134004
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@@H]12)c1csc(N)n1,0.97967768
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0.979359913
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)n4cc(F)c(O)nc4=N)cn1c32,0.979008028
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H](CO)C(N)=O)cn1c32,0.979007661
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)N[C@H]3SC(=O)NC3=O)=CCS[C@H]12)c1csc(N)n1,0.978558823
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,0.978524035
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN([C@H]4CC(=O)N(C5CC5)C4=O)CC3)cc21,0.978382105
CN1CCN(c2c(=O)c(=O)c2N2CCN(C)CC2)CC1,0.978258508
CCn1cc(C(=O)O)c(=O)c2c(F)ccc(F)c21,0.978163502
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(C(=O)O)s3)CC[C@@H]12)c1csc(N)n1,0.978119013
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3[nH]c(=O)c(O)n[n+]3C)CS[C@@H]12)c1csc(N)n1,0.97801635
O=C(O)c1cn(C2CC2)c2cc(N3CCN([C@H]4CC(=O)N(c5cc(Cl)cc(Cl)c5)C4=O)CC3)c(F)cc2c1=O,0.977939057
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)NC(=N)SCCN)c3=O,0.977903554
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1c(Cl)ncc(N)c1=N)c3=O,0.977872974
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CN[C@H](N)[C@H]5NCN[C@H]54)cn1c32,0.977850181
C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,0.977633175
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@@H]12)c1csc(N)n1,0.977565622
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,0.977487716
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@@H]12)c1csc(N)n1,0.9773846
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)ON4C(=O)CCC4=O)cn1c32,0.977143291
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@@H]12)c1csc(N)n1,0.976674965
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(C(=O)O)s3)CC[C@H]12)c1csc(N)n1,0.97656576
CNc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N/OC)c4csc(N)c4)[C@H]3SC2)s1,0.97621685
CC(=O)N1C2C3N(C(C)=O)[C@@H]4N[C@@H]1[C@@H](N[C@H]4N3C(C)=O)N2C(C)=O,0.97604723
CN(C)[C@@H]1C(=O)[C@@H](C(N)=O)C(=O)[C@@]2(O)C(=O)[C@H]3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.976016775
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)Nc4c(N)c(=O)c4=O)cn1c32,0.976002488
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1cc(N)c(O)nc1=N)c3=O,0.975933596
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H](CO)C(N)=O)cn1c32,0.975920469
O=C(O)c1cn(C2CC2)c2cc(N3CCN([C@@H]4CC(=O)N(c5cc(Cl)cc(Cl)c5)C4=O)CC3)c(F)cc2c1=O,0.975721759
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]21,0.975676125
CC(=O)N1C2C3N(C(C)=O)[C@@H]4N[C@H]1[C@H](N[C@H]4N3C(C)=O)N2C(C)=O,0.975482899
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN([C@@H]4CC(=O)N(C5CC5)C4=O)CC3)cc21,0.975391698
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)N[C@@H]3C[C@H]3F)=CCS[C@H]12)c1csc(N)n1,0.975350127
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N(C)[C@@H]4[C@H]5CNC[C@H]54)cn1c32,0.975290784
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@@H]12)c1csc(N)n1,0.975144503
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H]4CCC(=O)NC4=O)cn1c32,0.975049827
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4CNC[C@H]4O)cn1c32,0.975044486
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3[nH]c(=O)c(O)n[n+]3C)CS[C@H]12)c1csc(N)n1,0.974993792
CCn1cc(C(=O)O)c(=O)c2cc(F)c(F)cc21,0.974882334
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N(CCCCN)C(=N)N)c3=O,0.974787706
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,0.974671444
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1c(Cl)ncc(N)c1=N)c3=O,0.973874968
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CN[C@H](N)[C@@H]5NCN[C@H]54)cn1c32,0.973847032
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CN[C@H](N)[C@H]5NCN[C@@H]54)cn1c32,0.973808026
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H](CO)C(N)=O)cn1c32,0.9737746
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)n3c(N)csc3=N)=CCS[C@H]12)c1csc(N)n1,0.9737293
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@@H]12)c1csc(N)c1,0.973697221
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N[C@@H](C#N)C(N)=O)c3=O,0.973500919
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,0.973492661
C1CCC(N2N[C@H]2[C@H]2NN2C2CCCCC2)CC1,0.973159
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C3=C(COC3=O)CS[C@H]12)c1csc(N)n1,0.973106936
Cn1/c(=N/C(=N)NC(=N)N)n(/C(N)=N/C(=N)N)/c(=N/C(=N)NC(=N)N)n1C,0.973060659
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1cnc(N)s1,0.972783756
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@H]12)c1csc(N)n1,0.972617751
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)N[C@@H]3SC(=O)NC3=O)=CCS[C@H]12)c1csc(N)n1,0.972541174
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0.97253533
CNc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N/OC)c4csc(N)c4)[C@@H]3SC2)s1,0.972526559
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)NC=N)=CCS[C@H]12)c1csc(N)n1,0.972502661
N[C@@H]1NCN(C(=O)/C=C/c2cc(F)c(F)cc2F)[C@H]2NCN[C@H]21,0.972248569
CC[C@H](C)[C@@H](CO)NC(=O)c1cn2c3c(cc(F)c(N4CCN(C)CC4)c3OC[C@H]2C)c1=O,0.972227734
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0.972067875
C[C@H]1CN(C(=O)c2cn3c4c(cc(F)c(N5CCN(C)CC5)c4OC[C@@H]3C)c2=O)C[C@H](C)N1,0.972055647
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N4C[C@H](C)N[C@@H](C)C4)cn1c32,0.972055641
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4CCC(=O)NC4=O)cn1c32,0.97189559
CN(C)[C@@H]1C(=O)[C@H](C(N)=O)C(=O)[C@@]2(O)C(=O)[C@H]3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.971743098
